Datetime,Power,Ta,Ir,Tp
1/1/2021 0:00,0,32,0,17.37178
1/1/2021 0:15,0,32,0,17.482
1/1/2021 0:30,0,31,0,17.7
1/1/2021 0:45,0,31,0,17.5462
1/1/2021 1:00,0,31,0,17.11535
1/1/2021 1:15,0,31,0,17.1764
1/1/2021 1:30,0,31,0,17.25161
1/1/2021 1:45,0,31,0,17.31392
1/1/2021 2:00,0,30,0,17.59455
1/1/2021 2:15,0,31,0,17.76424
1/1/2021 2:30,0,31,0,17.77784
1/1/2021 2:45,0,30,0,17.65268
1/1/2021 3:00,0,30,0,17.66723
1/1/2021 3:15,0,30,0,17.56187
1/1/2021 3:30,0,30,0,17.36954
1/1/2021 3:45,0,33,0,17.10394
1/1/2021 4:00,0,32,0,17.1
1/1/2021 4:15,0,29,0,17.01689
1/1/2021 4:30,0,27,0,16.95885
1/1/2021 4:45,0,29,0,16.9
1/1/2021 5:00,0,29,0,16.89545
1/1/2021 5:15,0,29,0,16.67595
1/1/2021 5:30,0,28,0,16.3987
1/1/2021 5:45,0,28,0,16.23216
1/1/2021 6:00,0,29,0,16.07749
1/1/2021 6:15,0,28,0,16
1/1/2021 6:30,0,28,0,15.90337
1/1/2021 6:45,4,28,5.294572,15.75816
1/1/2021 7:00,20,28,36.57775,15.89532
1/1/2021 7:15,44,28,79.133,16.66694
1/1/2021 7:30,72,28,119.769,17.76932
1/1/2021 7:45,104,28,170.5537,18.98561
1/1/2021 8:00,144,29,215.9142,20.42112
1/1/2021 8:15,180,28,270.3864,22.06135
1/1/2021 8:30,220,27,306.5447,23.91058
1/1/2021 8:45,276,30,377.8942,25.87871
1/1/2021 9:00,320,29,436.83,28.09271
1/1/2021 9:15,336,30,469.1766,29.86251
1/1/2021 9:30,376,30,505.2203,31.97066
1/1/2021 9:45,416,31,558.965,33.46
1/1/2021 10:00,428,31,575.8126,35.01598
1/1/2021 10:15,484,31,650.6503,36.71768
1/1/2021 10:30,496,32,673.6429,38.37925
1/1/2021 10:45,520,33,709.4515,39.84138
1/1/2021 11:00,524,34,720.2568,40.42898
1/1/2021 11:15,536,34,730.3448,41.02463
1/1/2021 11:30,556,36,754.5778,41.8568
1/1/2021 11:45,568,36,774.7931,42.33083
1/1/2021 12:00,576,36,777.3506,43.01272
1/1/2021 12:15,572,37,785.3315,43.89193
1/1/2021 12:30,560,38,768.3111,44.45744
1/1/2021 12:45,576,37,777.8213,43.81731
1/1/2021 13:00,588,38,810.7213,43.9956
1/1/2021 13:15,528,38,746.8892,44.1243
1/1/2021 13:30,480,39,644.5132,42.04259
1/1/2021 13:45,492,39,675.1385,41.37884
1/1/2021 14:00,488,38,673.8836,41.52545
1/1/2021 14:15,480,39,673.2023,41.1383
1/1/2021 14:30,444,39,628.7716,40.55663
1/1/2021 14:45,412,40,583.0358,39.6083
1/1/2021 15:00,388,39,550.6012,39.25734
1/1/2021 15:15,344,39,501.097,38.55504
1/1/2021 15:30,304,39,445.9692,37.33526
1/1/2021 15:45,252,39,376.1744,36.26282
1/1/2021 16:00,208,39,325.3741,34.50563
1/1/2021 16:15,180,39,284.6617,32.96421
1/1/2021 16:30,136,39,212.372,31.36768
1/1/2021 16:45,108,39,183.885,29.81746
1/1/2021 17:00,68,38,127.8795,28.6352
1/1/2021 17:15,44,38,86.19915,27.6158
1/1/2021 17:30,20,38,39.36456,26.02063
